month,pytpe,percentile
4,Fastballs,53.3
5,Fastballs,56.36
6,Fastballs,53.12
7,Fastballs,48.625
8,Fastballs,50.94
9,Fastballs,56.12
10,Fastballs,57.1
4,Breaking,40.02
5,Breaking,39.44
6,Breaking,37.24
7,Breaking,36.075
8,Breaking,40.18
9,Breaking,38.32
10,Breaking,42.9
4,Offspeed,1.58
5,Offspeed,2.34
6,Offspeed,5.48
7,Offspeed,2.475
8,Offspeed,8.18
9,Offspeed,4.82
10,Offspeed,0
4,XX,5.14
5,XX,1.92
6,XX,4.2
7,XX,12.85
8,XX,0.7
9,XX,0.72
10,XX,0
